"additional_cov_activation_index_enqueued_count","additional_cov_enqueued_count","additional_cov_generated_count","additional_cov_integration_mode","additional_cov_seen_reserved_count","additional_cov_sub_pop_count","additional_cov_valid_novel_count","algorithm","baseline_nodes","baseline_path_length","baseline_solved_at_50k","bin","canonical_start","cov_activation_score_name","cov_blocked_by_additional_cov_seen_count","cov_candidate_count","cov_enqueue_rate","cov_enqueued_count","cov_expansion_count","cov_move_count","cov_pop_count","cov_pop_fraction","cov_preference_threshold","cov_queue_distance_blocked_count","cov_queue_eligible_count","cov_queue_fraction","cov_queue_size","cov_queued_count","cov_required_length_advantage","cov_required_replacements_sequence","cov_subword_sequence","cov_valid_candidate_count","cov_valid_rate","cov_variant","elapsed_seconds","elementary_automorphism_move_count","elementary_automorphism_moves_in_path","elementary_automorphisms_enabled","enqueued_state_count","expanded_state_count","final_depth","final_state","final_total_length","first_cov_subword","first_cov_target","frontier_peak_live_state_count","frontier_prune_count","frontier_states_pruned","initial_cov_seed_enqueued_count","label","max_live_frontier_states","min_standard_moves_between_cov","nodes_delta_vs_baseline","outer_iterations","outer_tie_strategy","path","path_delta_vs_baseline","path_length","presentation_index","queue_policy","queue_score_name","queue_size","r1","r2","seed_initial_additional_cov_moves","seed_initial_cov_neighbors","solved","solved_trivial","source","standard_blocked_by_additional_cov_seen_count","standard_enqueue_rate","standard_enqueued_count","standard_generated_count","standard_move_count","start_total_length","sub_expanded_count","sub_pop_count","sub_queue_size","termination_reason","total_nodes_used"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YXyXYx, YYYXXXX)","total_length","0","1205098","0.5508547852539794","663834","57454","0","57454","0.057454","2","0","932851","0.33752575117473166","875397","932852","3","","","1205098","1","auto_cov_plus_complete_cov","1869.411","24","0","true","51776365","1000000","0","(YXyXYx, YYYXXXX)","13","null","null","5000084","20","50000688","24","13_1","5000000","0","null","1000000","deepest","(YXyXYx, YYYXXXX)","null","0","0","sub_auto_complete_adjusted_length","total_length","2593571","YXyXYx","YYYXXXX","false","true","false","false","","0","0.532121855363625","51107965","96045604","0","13","932852","932852","842825","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YYXyXyx, YYxxxxyX)","total_length","0","1039398","0.5720994267835805","594639","54523","0","54523","0.054523","2","0","939543","0.23905929995294556","885020","939544","3","","","1039398","1","auto_cov_plus_complete_cov","406.727","24","0","true","55372322","1000000","0","(YYXyXyx, YYxxxxyX)","15","null","null","5000065","21","52500724","24","15_1","5000000","0","null","1000000","deepest","(YYXyXyx, YYxxxxyX)","null","0","1","sub_auto_complete_adjusted_length","total_length","3702094","YYXyXyx","YYxxxxyX","false","true","false","false","","0","0.5298691140146153","54774658","103373940","0","15","939544","939544","1932054","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YYXyXyx, YYxxxxxyX)","total_length","0","1447919","0.5770543794231583","835528","84843","0","84843","0.084843","2","0","909256","0.16838053728148558","824413","909257","3","","","1447919","1","auto_cov_plus_complete_cov","535.241","24","0","true","59157228","1000000","0","(YYXyXyx, YYxxxxxyX)","16","null","null","5000070","22","55000667","24","16_1","5000000","0","null","1000000","deepest","(YYXyXyx, YYxxxxxyX)","null","0","2","sub_auto_complete_adjusted_length","total_length","4896130","YYXyXyx","YYxxxxxyX","false","true","false","false","","0","0.5443140882504143","58318617","107141480","0","16","909257","909257","3247304","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YXYXyxx, YYYYYxyXyX)","total_length","0","1236467","0.5523794812154308","682999","77556","0","77556","0.077556","2","0","918429","0.251199501946418","840873","918430","3","","","1236467","1","auto_cov_plus_complete_cov","583.136","24","0","true","65085250","1000000","0","(YXYXyxx, YYYYYxyXyX)","17","null","null","5000113","25","62501135","22","17_1","5000000","0","null","1000000","deepest","(YXYXyxx, YYYYYxyXyX)","null","0","3","sub_auto_complete_adjusted_length","total_length","3347431","YXYXyxx","YYYYYxyXyX","false","true","false","false","","0","0.5506005235218833","64399584","116962446","0","17","918430","918430","1665685","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YYYXyyx, YXXYxxx)","total_length","0","2763344","0.5386781377924718","1488553","144711","0","144711","0.144711","2","0","827168","0.14077922549425903","682457","827169","3","","","2763344","1","auto_cov_plus_complete_cov","569.518","24","0","true","54310563","1000000","0","(YYYXyyx, YXXYxxx)","14","null","null","5000077","20","50000573","24","14_1","5000000","0","null","1000000","deepest","(YYYXyyx, YXXYxxx)","null","0","4","sub_auto_complete_adjusted_length","total_length","4847711","YYYXyyx","YXXYxxx","false","true","false","false","","0","0.5467113783670722","52806243","96588886","0","14","827169","827169","3482821","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YYYxyyX, YXXyxxx)","total_length","0","1216256","0.5707786847505788","694213","64191","0","64191","0.064191","2","0","926782","0.2637400974130208","862591","926783","3","","","1216256","1","auto_cov_plus_complete_cov","397.791","24","0","true","54972890","1000000","0","(YYYxyyX, YXXyxxx)","14","null","null","5000057","21","52500679","24","14_2","5000000","0","null","1000000","deepest","(YYYxyyX, YXXyxxx)","null","0","5","sub_auto_complete_adjusted_length","total_length","3270610","YYYxyyX","YXXyxxx","false","true","false","false","","0","0.5231065755716335","54274204","103753626","0","14","926783","926783","1545428","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YXXXyxx, YYYXXyyX)","total_length","0","2036001","0.5467683954968587","1113221","113356","0","113356","0.113356","2","0","862849","0.25437118651776","749493","862850","3","","","2036001","1","auto_cov_plus_complete_cov","605.7","24","0","true","64811407","1000000","0","(YXXXyxx, YYYXXyyX)","15","null","null","5000097","25","62501089","24","15_2","5000000","0","null","1000000","deepest","(YXXXyxx, YYYXXyyX)","null","0","6","sub_auto_complete_adjusted_length","total_length","2946454","YXXXyxx","YYYXXyyX","false","true","false","false","","0","0.5478513495899464","63685677","116246272","0","15","862850","862850","1447468","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YYYXyyx, YXXYxxYx)","total_length","0","1845837","0.5460151681865734","1007855","101224","0","101224","0.101224","2","0","875291","0.3006580501022304","774067","875292","3","","","1845837","1","auto_cov_plus_complete_cov","591.501","24","0","true","66902749","1000000","0","(YYYXyyx, YXXYxxYx)","15","null","null","5000082","26","65001015","24","15_3","5000000","0","null","1000000","deepest","(YYYXyyx, YXXYxxYx)","null","0","7","sub_auto_complete_adjusted_length","total_length","2574576","YYYXyyx","YXXYxxYx","false","true","false","false","","0","0.5475051766789015","65881322","120330044","0","15","875292","875292","1026442","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YYYXyyx, YXyXyxxx)","total_length","0","1973134","0.5496915060000993","1084615","109302","0","109302","0.109302","2","0","870499","0.15462900572873065","761197","870500","3","","","1973134","1","auto_cov_plus_complete_cov","595.294","24","0","true","64271689","1000000","0","(YYYXyyx, YXyXyxxx)","15","null","null","5000094","24","60000852","24","15_4","5000000","0","null","1000000","deepest","(YYYXyyx, YXyXyxxx)","null","0","8","sub_auto_complete_adjusted_length","total_length","4922731","YYYXyyx","YXyXyxxx","false","true","false","false","","0","0.54342496498799","63176316","116255822","0","15","870500","870500","3400337","node_budget_exhausted","1000000"
"0","0","0","full","0","0","0","triple_gs_auto_cov_complete_cov_compact_cpp","null","null","","","(YYYXyyx, YXyXXyxx)","total_length","0","2558600","0.5560783240834831","1422782","139779","0","139779","0.139779","2","0","841152","0.15867654055536212","701373","841153","3","","","2558600","1","auto_cov_plus_complete_cov","649.01","24","0","true","56359182","1000000","0","(YYYXyyx, YXyXXyxx)","15","null","null","5000067","21","52500632","24","15_5","5000000","0","null","1000000","deepest","(YYYXyyx, YXyXXyxx)","null","0","9","sub_auto_complete_adjusted_length","total_length","4420143","YYYXyyx","YXyXXyxx","false","true","false","false","","0","0.5398606628035955","54926794","101742538","0","15","841153","841153","3017397","node_budget_exhausted","1000000"
