presentation_index,presentation_label,r1,r2,start_total_length,auto_dual_best_total_length,triple_best_total_length,auto_dual_best_length_source,triple_best_length_source,auto_dual_length_reduction,triple_length_reduction,auto_dual_reduced,triple_reduced,paired_outcome,reduction_coverage_group,auto_dual_solved,triple_solved,auto_dual_termination_reason,triple_termination_reason,auto_dual_total_nodes,triple_total_nodes,triple_substitution_pop_count,triple_automorphism_pop_count,triple_non_auto_cov_pop_count,triple_non_auto_cov_pop_source,triple_substitution_pop_fraction,triple_automorphism_pop_fraction,triple_non_auto_cov_pop_fraction,auto_dual_frontier_prune_count,triple_frontier_prune_count,auto_dual_frontier_states_pruned,triple_frontier_states_pruned
0,13_1,YXyXYx,YYYXXXX,13,13,13,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,932852,57454,9694,total_nodes_used - sub_pop_count - cov_pop_count,0.932852,0.057454,0.009694,27,20,67501218,50000688
1,15_1,YYXyXyx,YYxxxxyX,15,15,15,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,939544,54523,5933,total_nodes_used - sub_pop_count - cov_pop_count,0.939544,0.054523,0.005933,27,21,67501074,52500724
2,16_1,YYXyXyx,YYxxxxxyX,16,16,16,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,909257,84843,5900,total_nodes_used - sub_pop_count - cov_pop_count,0.909257,0.084843,0.0059,29,22,72500926,55000667
3,17_1,YXYXyxx,YYYYYxyXyX,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,918430,77556,4014,total_nodes_used - sub_pop_count - cov_pop_count,0.91843,0.077556,0.004014,32,25,80001405,62501135
4,14_1,YYYXyyx,YXXYxxx,14,14,14,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,827169,144711,28120,total_nodes_used - sub_pop_count - cov_pop_count,0.827169,0.144711,0.02812,30,20,75001395,50000573
5,14_2,YYYxyyX,YXXyxxx,14,14,14,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,926783,64191,9026,total_nodes_used - sub_pop_count - cov_pop_count,0.926783,0.064191,0.009026,28,21,70001394,52500679
6,15_2,YXXXyxx,YYYXXyyX,15,15,15,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,862850,113356,23794,total_nodes_used - sub_pop_count - cov_pop_count,0.86285,0.113356,0.023794,34,25,85001566,62501089
7,15_3,YYYXyyx,YXXYxxYx,15,15,15,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,875292,101224,23484,total_nodes_used - sub_pop_count - cov_pop_count,0.875292,0.101224,0.023484,34,26,85001322,65001015
8,15_4,YYYXyyx,YXyXyxxx,15,15,15,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,870500,109302,20198,total_nodes_used - sub_pop_count - cov_pop_count,0.8705,0.109302,0.020198,35,24,87501509,60000852
9,15_5,YYYXyyx,YXyXXyxx,15,15,15,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,841153,139779,19068,total_nodes_used - sub_pop_count - cov_pop_count,0.841153,0.139779,0.019068,29,21,72501375,52500632
10,16_2,YYYXyyX,YXXXXyxxx,16,16,15,final_total_length,final_total_length,0,1,0,1,Triple better,Triple only,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,889509,99623,10868,total_nodes_used - sub_pop_count - cov_pop_count,0.889509,0.099623,0.010868,37,25,92501940,62500862
11,16_3,YYYXyyx,YXXXXyxxx,16,16,15,final_total_length,final_total_length,0,1,0,1,Triple better,Triple only,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,896341,97763,5896,total_nodes_used - sub_pop_count - cov_pop_count,0.896341,0.097763,0.005896,36,22,90002039,55000751
12,17_2,YYXXYxxx,YYYXYxYxx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,871342,98587,30071,total_nodes_used - sub_pop_count - cov_pop_count,0.871342,0.098587,0.030071,40,32,100001926,80001692
13,17_3,YXXYxxYx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,813289,172819,13892,total_nodes_used - sub_pop_count - cov_pop_count,0.813289,0.172819,0.013892,33,29,82501798,72501518
14,17_4,YXXYxYxx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,810808,180451,8741,total_nodes_used - sub_pop_count - cov_pop_count,0.810808,0.180451,0.008741,32,29,80001521,72501499
15,17_5,YYxxyXXX,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,898092,89796,12112,total_nodes_used - sub_pop_count - cov_pop_count,0.898092,0.089796,0.012112,30,26,75001562,65001039
16,17_6,YXXYxxyx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,927201,66483,6316,total_nodes_used - sub_pop_count - cov_pop_count,0.927201,0.066483,0.006316,29,24,72501201,60000928
17,17_7,YXyXXyxx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,927208,68428,4364,total_nodes_used - sub_pop_count - cov_pop_count,0.927208,0.068428,0.004364,29,24,72501245,60001051
18,17_8,YXXyXyxx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,919042,70002,10956,total_nodes_used - sub_pop_count - cov_pop_count,0.919042,0.070002,0.010956,27,30,67501149,75001488
19,17_9,YXyxxYXX,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,897866,93287,8847,total_nodes_used - sub_pop_count - cov_pop_count,0.897866,0.093287,0.008847,30,26,75001415,65001021
20,17_10,YXYXXyxx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,854259,132911,12830,total_nodes_used - sub_pop_count - cov_pop_count,0.854259,0.132911,0.01283,30,27,75001404,67501148
21,17_11,YYXXXyxx,YXyxxyXYx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,778010,182686,39304,total_nodes_used - sub_pop_count - cov_pop_count,0.77801,0.182686,0.039304,40,31,100002544,77501642
22,17_12,YXYXYxxx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,875100,115941,8959,total_nodes_used - sub_pop_count - cov_pop_count,0.8751,0.115941,0.008959,32,30,80001466,75001798
23,17_13,YXYxxxyX,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,893870,95854,10276,total_nodes_used - sub_pop_count - cov_pop_count,0.89387,0.095854,0.010276,32,31,80001396,77501683
24,17_14,YXyXYxxx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,858855,127840,13305,total_nodes_used - sub_pop_count - cov_pop_count,0.858855,0.12784,0.013305,32,26,80001590,65001228
25,17_15,YXXXyxYx,YYYYXyyyx,17,17,17,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,879890,106552,13558,total_nodes_used - sub_pop_count - cov_pop_count,0.87989,0.106552,0.013558,32,32,80001397,80001808
26,15_10,YXyxxyX,YYXyyxYx,15,15,15,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,909687,81860,8453,total_nodes_used - sub_pop_count - cov_pop_count,0.909687,0.08186,0.008453,27,20,67501150,50000601
27,18_1,YXXYxxx,YYYYYXyyyyx,18,18,16,final_total_length,final_total_length,0,2,0,1,Triple better,Triple only,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,859833,134443,5724,total_nodes_used - sub_pop_count - cov_pop_count,0.859833,0.134443,0.005724,23,25,57500847,62500853
28,18_2,YXXXyxx,YYYYYXyyyyx,18,18,18,final_total_length,final_total_length,0,0,0,0,Tie,Neither reduced,0,0,node_budget_exhausted,node_budget_exhausted,1000000,1000000,940093,59427,480,total_nodes_used - sub_pop_count - cov_pop_count,0.940093,0.059427,0.00048,30,25,75001280,62500892
