pres_id,r1,r2,nodes_explored,path_length
0,YYXyx,Yx,3,2
1,YYXyx,YX,3,2
2,YYXyx,YYx,4,3
3,YYX,YYXyx,4,3
4,YYYx,YYXyx,5,4
5,YYYX,YYXyx,5,4
6,YYXyx,YXYxx,7,5
7,YYXyx,YXXyx,4,3
8,YYYYx,YYXyx,6,5
9,YYXyx,YXyxx,4,3
10,YYXyx,YXXYx,7,5
11,YYYYX,YYXyx,6,5
12,YYXYxx,YYXyx,5,4
13,YYXyx,YXYxYx,7,6
14,YYXyx,YXYxyx,5,4
15,YYXyx,YXyXyx,5,4
16,YYXyx,YXYXyx,4,3
17,YYXXyx,YYXyx,4,3
18,YYXyx,YYxxYX,10,8
19,YYXyx,YYxxyX,8,6
20,YYYYYx,YYXyx,7,6
21,YYXyx,YXyxYx,4,3
22,YYXyx,YXyXYx,5,4
23,YYXyx,YYXyxx,4,3
24,YYXXYx,YYXyx,5,4
25,YYXyx,YYxyXX,8,6
26,YYXyx,YYxYXX,10,8
27,YYXyx,YXYxyX,5,4
28,YYXyx,YXYXYx,7,6
29,YYYYYX,YYXyx,7,6
30,YYXyx,YXXYxxx,10,9
31,YYXyx,YXXXyxx,9,7
32,YYYXYxx,YYXyx,8,7
33,YYXYxYx,YYXyx,6,5
34,YYXYxyx,YYXyx,4,3
35,YYXyx,YYxYXYx,8,7
36,YYXyx,YYXyxyX,4,3
37,YYXyx,YYxyXYx,6,5
38,YYXyxYX,YYXyx,4,3
39,YYXyXyx,YYXyx,4,3
40,YYXYXyx,YYXyx,4,3
41,YYYXXyx,YYXyx,4,3
42,YYXYYxx,YYXyx,6,5
43,YYXyx,YYxYxYX,13,9
44,YYXyx,YYxyxYX,8,7
45,YYXyx,YYxYxyX,8,7
46,YYXyx,YYxyxyX,6,5
47,YYXXyyx,YYXyx,4,3
48,YYYxxYX,YYXyx,18,11
49,YYYxxyX,YYXyx,11,9
50,YYYYYYx,YYXyx,8,7
51,YYXyx,YYxYXyx,4,3
52,YYXyx,YYxyXyx,4,3
53,YYXyxYx,YYXyx,4,3
54,YYXyXYx,YYXyx,4,3
55,YYXyx,YYxyXyX,6,5
56,YYXyx,YYxYXyX,8,7
57,YYXyx,YXXyxxx,9,7
58,YYXyx,YXXXYxx,10,9
59,YYYXyxx,YYXyx,4,3
60,YYYXXYx,YYXyx,8,7
61,YYXyx,YYXyyxx,4,3
62,YYXXYYx,YYXyx,6,5
63,YYYxyXX,YYXyx,11,9
64,YYYxYXX,YYXyx,18,11
65,YYXyx,YYXyxyx,4,3
66,YYXYxyX,YYXyx,6,5
67,YYXYxYX,YYXyx,8,7
68,YYXYXYx,YYXyx,6,5
69,YYXyx,YYxyXYX,8,7
70,YYXyx,YYxYXYX,11,9
71,YYYYYYX,YYXyx,8,7
72,YYXXYxxx,YYXyx,8,6
73,YYXyx,YXXYxxYx,13,10
74,YYXyx,YXXYxYxx,18,12
75,YYXyx,YXXYxyxx,8,6
76,YYXyx,YXXYxxyx,10,8
77,YYXyx,YXyXXyxx,11,8
78,YYXyx,YXXyXyxx,12,10
79,YYXyx,YXXYXyxx,5,4
80,YYXyx,YXYXXyxx,7,6
81,YYXXXyxx,YYXyx,5,4
82,YYXyx,YXYXYxxx,18,12
83,YYXyx,YXYxxxyX,12,10
84,YYYYXYxx,YYXyx,7,6
85,YYYXYxYx,YYXyx,9,8
86,YYYXYxyx,YYXyx,8,6
87,YYXYxYYx,YYXyx,7,6
88,YYXYxyyx,YYXyx,4,3
89,YYYxYXYx,YYXyx,9,8
90,YYYXyxyX,YYXyx,4,3
91,YYXyx,YXyXYxxx,8,6
92,YYXyx,YXXXyxYx,5,4
93,YYYxyXYx,YYXyx,7,6
94,YYYXyxYX,YYXyx,5,4
95,YYXyx,YYXyyXyx,5,4
96,YYXYYXyx,YYXyx,5,4
97,YYYXyXyx,YYXyx,4,3
98,YYYXYXyx,YYXyx,5,4
99,YYYYXXyx,YYXyx,5,4
100,YYXyx,YYxxxYXX,34,18
101,YYXyx,YYxxxyXX,21,14
102,YYYXYYxx,YYXyx,15,10
103,YYXYYxYx,YYXyx,7,6
104,YYXYYxyx,YYXyx,5,4
105,YYXyx,YYxYXYYx,18,12
106,YYXyx,YYXyyxyX,8,6
107,YYXyx,YYxYYxyX,11,8
108,YYXyx,YYXyyxYX,5,4
109,YYXyXyyx,YYXyx,5,4
110,YYXYXyyx,YYXyx,4,3
111,YYYXXyyx,YYXyx,5,4
112,YYYxxYYX,YYXyx,7,6
113,YYYxYxYX,YYXyx,24,14
114,YYYxyxYX,YYXyx,13,10
115,YYYxYxyX,YYXyx,16,10
116,YYYxyxyX,YYXyx,9,8
117,YYYxxyyX,YYXyx,5,4
118,YYYYxxYX,YYXyx,32,16
119,YYYYxxyX,YYXyx,18,12
120,YYYYYYYx,YYXyx,9,8
121,YYYxYXyx,YYXyx,5,4
122,YYYxyXyx,YYXyx,4,3
123,YYXyxYYx,YYXyx,5,4
124,YYXyx,YYXyyXYx,4,3
125,YYXyx,YYxYXyyx,5,4
126,YYXyx,YYxYXyyX,8,6
127,YYXyx,YXXyxxYx,7,6
128,YYXyx,YXyXXYxx,10,8
129,YYXyx,YXXyxYxx,5,4
130,YYXyx,YXXyXYxx,8,6
131,YYYXyxYx,YYXyx,5,4
132,YYYXyXYx,YYXyx,8,6
133,YYXyx,YYXyyxYx,4,3
134,YYXyXYYx,YYXyx,5,4
135,YYYxyXyX,YYXyx,9,8
136,YYYxYXyX,YYXyx,13,10
137,YYXXyxxx,YYXyx,5,4
138,YYXXXYxx,YYXyx,8,6
139,YYXyx,YXYXyxxx,5,4
140,YYXyx,YXXXYxyx,8,6
141,YYXyx,YXyXyxxx,12,10
142,YYXyx,YXXXYxYx,18,12
143,YYXyx,YYxxyXXX,21,14
144,YYXyx,YYxxYXXX,34,18
145,YYXyx,YXXYxxyX,11,8
146,YYXyx,YXYXXYxx,11,10
147,YYYYXyxx,YYXyx,5,4
148,YYYYXXYx,YYXyx,7,6
149,YYXyx,YXYxxyXX,12,10
150,YYXyx,YXYxxYXX,18,12
151,YYYXyyxx,YYXyx,5,4
152,YYYXXYYx,YYXyx,16,10
153,YYYxyyXX,YYXyx,5,4
154,YYYxYYXX,YYXyx,7,6
155,YYYYxyXX,YYXyx,18,12
156,YYYYxYXX,YYXyx,32,16
157,YYYXyxyx,YYXyx,4,3
158,YYXYxyyX,YYXyx,5,4
159,YYYXYxyX,YYXyx,7,6
160,YYYXYxYX,YYXyx,9,8
161,YYXYYXYx,YYXyx,7,6
162,YYYXYXYx,YYXyx,9,8
163,YYXyx,YYXyyxyx,5,4
164,YYXYXYYx,YYXyx,7,6
165,YYYxyXYX,YYXyx,16,10
166,YYYxYXYX,YYXyx,24,14
167,YYXYYxyX,YYXyx,9,8
168,YYXYYxYX,YYXyx,18,12
169,YYYYYYYX,YYXyx,9,8
170,YYYXyyx,Yx,3,2
171,YYYXyyx,YX,3,2
172,YYYXyyx,YYx,4,3
173,YYYXyyx,YYX,4,3
174,YYYXyyx,YYYx,5,4
175,YYYX,YYYXyyx,5,4
176,YYYXyyx,YXYxx,68,10
177,YYYXyyx,YXXyx,8,7
178,YYYYx,YYYXyyx,6,5
179,YYYXyyx,YXyxx,8,7
